Cycle_ID,Total_Volume,Time_Span_Sec,Is_Flagged	
ACC_0218,696727.00,276,1	
ACC_0219,573359.00,231,1	
ACC_0220,597992.00,237,1	
ACC_0221,697721.00,275,1	
ACC_0222,637875.00,241,1	
ACC_0223,582037.00,245,1	
ACC_0224,680169.00,256,1	
ACC_0225,651715.00,247,1	
ACC_0226,577222.00,243,1	
ACC_0227,692541.00,268,1	
ACC_0228,662365.00,267,1	
ACC_0229,699944.00,272,1	
ACC_0230,615395.00,243,1	
ACC_0231,608281.00,251,1	
ACC_0232,647427.00,248,1	
ACC_0233,568913.00,252,1	
ACC_0234,616096.00,246,1	
ACC_0235,627295.00,251,1	
ACC_0236,653854.00,261,1	
ACC_0237,537415.00,215,1	
ACC_0238,639640.00,257,1	
ACC_0239,562618.00,224,1	
ACC_0240,596704.00,239,1	
ACC_0241,654152.00,262,1	
ACC_0242,596782.00,239,1	
ACC_0243,588557.00,231,1	
ACC_0244,586505.00,233,1	
ACC_0245,725699.00,284,1	
ACC_0246,699572.00,266,1	
ACC_0247,645459.00,263,1	
ACC_0248,624321.00,249,1	
ACC_0249,638195.00,241,1	
ACC_0250,676195.00,260,1	
ACC_0251,666256.00,250,1	
ACC_0252,595760.00,233,1	
ACC_0253,657704.00,258,1	
ACC_0254,644391.00,255,1	
ACC_0255,744281.00,298,1	
ACC_0256,649330.00,261,1	
ACC_0257,608051.00,250,1	
ACC_0258,637784.00,254,1	
ACC_0259,657298.00,256,1	
ACC_0260,532281.00,213,1	
ACC_0261,593944.00,254,1	
ACC_0262,602400.00,250,1	
ACC_0263,652603.00,254,1	
ACC_0264,557513.00,228,1	
ACC_0265,592413.00,235,1	
ACC_0266,536129.00,221,1	
ACC_0267,664791.00,257,1	
ACC_0268,610912.00,240,1	
ACC_0269,700666.00,266,1	
ACC_0270,613884.00,259,1	
ACC_0271,560468.00,233,1	
ACC_0272,636861.00,231,1	
ACC_0273,596096.00,246,1	
ACC_0274,604620.00,251,1	
ACC_0275,622698.00,245,1	
ACC_0276,618694.00,250,1	
ACC_0277,596544.00,246,1	
ACC_0278,676173.00,259,1	
ACC_0279,639479.00,251,1	
ACC_0280,619437.00,252,1	
ACC_0281,618932.00,241,1	
ACC_0282,670066.00,262,1	
ACC_0283,602840.00,238,1	
ACC_0284,681723.00,265,1	
ACC_0285,648765.00,261,1	
ACC_0286,549987.00,241,1	
ACC_0287,598299.00,223,1	
ACC_0288,586897.00,246,1	
ACC_0289,513869.00,218,1	
ACC_0290,706087.00,272,1	
ACC_0291,596957.00,227,1	
ACC_0292,596711.00,236,1	
ACC_0293,508870.00,211,1	
ACC_0294,631089.00,243,1	
ACC_0295,624543.00,248,1	
ACC_0296,525853.00,222,1	
ACC_0297,488098.00,210,1	
ACC_0298,625904.00,261,1	
ACC_0299,609442.00,253,1	
MULE_801,5000000.00,100,1	
MULE_802,4950000.00,100,1	
MULE_803,4900000.00,100,1	
MULE_901,6000000.00,80,1	
MULE_902,5920000.00,80,1	
MULE_903,5880000.00,80,1	
